,shap_mean,shap_std,n_folds_selected
zscore_20,0.2547910577187078,0.019253867087765903,6
yield_curve,0.22741754183316087,0.026055250684574514,6
return_5d,0.18915754526832962,0.012793532154503543,6
drawdown,0.17186659417222191,0.026976403476961723,6
1y_yield,0.16572111214664834,0.02052843238042132,0
vix,0.15463990807289968,0.02360993011934669,5
atr_14,0.15194208504758655,0.022636308344427637,1
retail_sales_percent,0.14952920292629215,0.014233371136522342,6
trend_strength,0.14471005227568964,0.014097635909978212,6
oil,0.13619998151800347,0.02330034530280044,6
sector_XLK,0.12299721436933604,0.02645439553211039,6
vol_regime,0.1174016759065028,0.009089132862449553,6
leading,0.10815049732451937,0.024502968448362982,1
volatility_20,0.10029480300544387,0.0074465574054581275,3
rsi,0.08788718457710071,0.019562958231385243,0
inflacion,0.082119085404352,0.00799952916442384,1
vixoil,0.08173926911252481,0.023588768689895193,1
sector_XLV,0.08161883206563407,0.01048222497969282,0
sentiment,0.08150428693707396,0.011532775614701367,0
sector_XLY,0.08067320636653924,0.017774910071136876,0
return_20d,0.07648099289798048,0.01741517951403496,0
sector_XLI,0.07540033085899003,0.010333924546911384,0
sector_XLE,0.06315797396276011,0.012412829808889888,0
sector_XLF,0.062082154094838284,0.017637341471236866,0
recession,0.040129623763220115,0.023133557193336485,0
hy_oas,0.0,0.0,0
corp_oas,0.0,0.0,0
eu_hy_oas,0.0,0.0,0
