,shap_mean,shap_std,n_folds_selected
zscore_20,0.20023118180493008,0.06686009128678022,6
return_5d,0.17215039749529695,0.027987569225426685,6
yield_curve,0.1612899111954918,0.06233930474250439,6
drawdown,0.13655355339195638,0.05258109092545749,6
retail_sales_percent,0.13632484222712457,0.04595558715868815,6
oil,0.12655238413852718,0.05912363712574778,6
vol_regime,0.111465288435471,0.047666329730036976,6
trend_strength,0.10989605169019491,0.051031502646916,6
vix,0.09651628333679858,0.07330490947266904,5
sector_XLK,0.09166053423052335,0.053742265507890956,6
volatility_20,0.03594615015276926,0.044445058243377626,3
inflacion,0.024210959452904416,0.0593044968428288,1
leading,0.022289791183080245,0.05459861487173397,1
vixoil,0.018824219353304496,0.04610973222181996,1
atr_14,0.016167412548838835,0.03960191120572476,1
recession,0.0,0.0,0
1y_yield,0.0,0.0,0
corp_oas,0.0,0.0,0
hy_oas,0.0,0.0,0
eu_hy_oas,0.0,0.0,0
return_20d,0.0,0.0,0
sector_XLV,0.0,0.0,0
sector_XLY,0.0,0.0,0
sector_XLF,0.0,0.0,0
rsi,0.0,0.0,0
sector_XLE,0.0,0.0,0
sector_XLI,0.0,0.0,0
sentiment,0.0,0.0,0
