Año,Modelo,Sharpe,F1,Ret %
2020,Buy&Hold,0.433,—,0.094
2020,EBM,0.296,0.185,0.036
2020,LGBM,-0.159,0.44,-0.099
2020,STUDENT,-0.006,0.455,-0.044
2021,Buy&Hold,1.817,—,0.258
2021,EBM,1.189,0.388,0.077
2021,LGBM,1.502,0.543,0.171
2021,STUDENT,1.427,0.507,0.157
2022,Buy&Hold,-0.897,—,-0.218
2022,EBM,0.286,0.25,0.025
2022,LGBM,-0.131,0.477,-0.047
2022,STUDENT,-0.003,0.513,-0.019
2023,Buy&Hold,1.672,—,0.232
2023,EBM,0.0,0.0,0.0
2023,LGBM,2.002,0.539,0.232
2023,STUDENT,0.718,0.434,0.062
2024,Buy&Hold,1.654,—,0.223
2024,EBM,0.0,0.0,0.0
2024,LGBM,1.278,0.548,0.146
2024,STUDENT,1.542,0.589,0.186
