Versión,Modelo,Sharpe,MaxDD,Calmar,Ret_total,Barrier_Score,N_señales
iter1,Buy&Hold,0.56,-0.361,1.552,0.622,—,—
iter1,EBM,0.339,-0.129,2.62,0.144,0.536,110
iter1,LGBM,0.459,-0.353,1.3,0.414,0.539,763
iter1,STUDENT,0.441,-0.337,1.307,0.362,0.534,664
iter2,Buy&Hold,0.56,-0.361,1.552,0.622,—,—
iter2,EBM,0.614,-0.015,41.357,0.051,0.625,24
iter2,LGBM,0.536,-0.084,6.373,0.177,0.559,323
iter2,STUDENT,0.45,-0.093,4.815,0.138,0.554,297
breakout,Buy&Hold,0.56,-0.361,1.552,0.622,—,—
breakout,EBM,0.33,-0.015,22.2,0.019,0.714,14
breakout,LGBM,-0.122,-0.094,-1.303,-0.037,0.556,216
breakout,STUDENT,-0.121,-0.101,-1.201,-0.034,0.556,198
