year,version,model,sharpe
2020,Buy&Hold,Buy&Hold,0.433
2020,iter1,EBM,0.296
2020,iter2,EBM,0.764
2020,breakout,EBM,0.0
2020,iter1,LGBM,-0.159
2020,iter2,LGBM,-0.915
2020,breakout,LGBM,-1.38
2020,iter1,STUDENT,-0.006
2020,iter2,STUDENT,-1.163
2020,breakout,STUDENT,-1.68
2021,Buy&Hold,Buy&Hold,1.817
2021,iter1,EBM,1.189
2021,iter2,EBM,1.783
2021,breakout,EBM,1.471
2021,iter1,LGBM,1.502
2021,iter2,LGBM,1.372
2021,breakout,LGBM,0.635
2021,iter1,STUDENT,1.427
2021,iter2,STUDENT,1.352
2021,breakout,STUDENT,0.354
2022,Buy&Hold,Buy&Hold,-0.897
2022,iter1,EBM,0.286
2022,iter2,EBM,-0.543
2022,breakout,EBM,-0.83
2022,iter1,LGBM,-0.131
2022,iter2,LGBM,-1.085
2022,breakout,LGBM,-1.322
2022,iter1,STUDENT,-0.003
2022,iter2,STUDENT,-1.105
2022,breakout,STUDENT,-1.322
2023,Buy&Hold,Buy&Hold,1.672
2023,iter1,EBM,0.0
2023,iter2,EBM,0.0
2023,breakout,EBM,0.0
2023,iter1,LGBM,2.002
2023,iter2,LGBM,1.009
2023,breakout,LGBM,0.576
2023,iter1,STUDENT,0.718
2023,iter2,STUDENT,0.696
2023,breakout,STUDENT,0.671
2024,Buy&Hold,Buy&Hold,1.654
2024,iter1,EBM,0.0
2024,iter2,EBM,0.0
2024,breakout,EBM,0.0
2024,iter1,LGBM,1.278
2024,iter2,LGBM,1.072
2024,breakout,LGBM,0.019
2024,iter1,STUDENT,1.542
2024,iter2,STUDENT,1.253
2024,breakout,STUDENT,0.385
