Date,target_tb,proba_ebm,signal_ebm,proba_lgbm,signal_lgbm,proba_student,signal_student,regime,gamma_bull,signal_ebm_iter2,signal_ebm_breakout,signal_lgbm_iter2,signal_lgbm_breakout,signal_student_iter2,signal_student_breakout
2020-01-02,1,0.4615384615384615,1,0.6663967901012442,1,0.8091292923550494,1,1,1.0,1,0,1,0,1,0
2020-01-03,1,0.2307692307692307,0,0.5558336787438951,1,0.5642988045160615,1,1,0.9999926112377702,0,0,1,0,1,0
2020-01-06,1,0.5690140845070423,1,0.4909172744358234,1,0.8433451118963488,1,1,0.9999921584683802,1,0,1,0,1,0
2020-01-07,1,0.4615384615384615,1,0.488439571794318,1,0.4201877934272277,1,1,0.9999914514102561,1,0,1,0,1,0
2020-01-08,1,0.4615384615384615,1,0.4963975060039371,1,0.4201877934272277,1,1,0.9999911712664942,1,0,1,0,1,0
2020-01-09,1,0.2024539877300613,0,0.5154104243043482,1,0.4201877934272277,1,1,0.9999913689066077,0,0,1,0,1,0
2020-01-10,1,0.0643564356435643,0,0.257873823832482,0,0.0311802245482905,0,1,0.9999946468235559,0,0,0,0,0,0
2020-01-13,1,0.2307692307692307,0,0.3646813767800015,1,0.4201877934272277,1,1,0.9999932939733508,0,0,1,0,1,0
2020-01-14,1,0.0375,0,0.182159190392864,0,0.0311802245482905,0,1,0.999995211407719,0,0,0,0,0,0
2020-01-15,1,0.0643564356435643,0,0.226256124219442,0,0.0311802245482905,0,1,0.999994539546962,0,0,0,0,0,0
2020-01-16,0,0.0643564356435643,0,0.2299901697187875,0,0.0311802245482905,0,1,0.9999912665693333,0,0,0,0,0,0
2020-01-17,0,0.1333333333333333,0,0.2912593546356837,0,0.0311802245482905,0,1,0.9999941985101972,0,0,0,0,0,0
2020-01-21,0,0.1333333333333333,0,0.3320209511184267,1,0.5642988045160615,1,1,0.9999945429625507,0,0,1,0,1,0
2020-01-22,0,0.2307692307692307,0,0.5131918933956917,1,0.9774275193884252,1,1,0.9999931609069918,0,0,1,0,1,0
2020-01-23,0,0.2487046632124352,0,0.3650336872709283,1,0.4201877934272277,1,1,0.999991083292307,0,0,1,0,1,0
2020-01-24,0,0.2307692307692307,0,0.3289828096683401,1,0.4201877934272277,1,1,0.9999822289893198,0,0,1,0,1,0
2020-01-27,1,0.2024539877300613,0,0.4873243967304896,1,0.8433451118963488,1,1,0.9998827370850981,0,0,1,0,1,0
2020-01-28,0,0.2857142857142857,0,0.6492345740347941,1,0.9954319761668324,1,1,0.9999116000825279,0,0,1,0,1,0
2020-01-29,0,0.2307692307692307,0,0.5830102538963631,1,0.857298356373136,1,1,0.9999886260212597,0,0,1,0,1,0
2020-01-30,0,0.2307692307692307,0,0.6012532647606729,1,0.9954319761668324,1,1,0.9999700228836769,0,0,1,1,1,1
2020-01-31,1,0.1576923076923077,0,0.5782017010528576,1,0.8433451118963488,1,1,0.9994278056408382,0,0,1,0,1,0
2020-02-03,1,0.5690140845070423,1,0.6174217519670278,1,0.9954319761668324,1,1,0.9997564541170868,1,0,1,0,1,0
2020-02-04,1,0.1576923076923077,0,0.5059932951468304,1,0.2208167661743263,0,1,0.9997216944777109,0,0,1,1,0,0
2020-02-05,0,0.0,0,0.1864731477752503,0,0.2208167661743263,0,1,0.9999108337152964,0,0,0,0,0,0
2020-02-06,0,0.0,0,0.1868415021519699,0,0.2208167661743263,0,1,0.9999849880631638,0,0,0,0,0,0
2020-02-07,1,0.0,0,0.1711961142305783,0,0.0311802245482905,0,1,0.9999844617220637,0,0,0,0,0,0
2020-02-10,0,0.0,0,0.2337284200361789,0,0.2208167661743263,0,1,0.9999885062949272,0,0,0,0,0,0
2020-02-11,0,0.0,0,0.199738662565811,0,0.2208167661743263,0,1,0.9999942964735817,0,0,0,0,0,0
2020-02-12,0,0.0,0,0.2127162971978953,0,0.2208167661743263,0,1,0.9999933878916958,0,0,0,0,0,0
2020-02-13,0,0.0,0,0.1629466454382275,0,0.0311802245482905,0,1,0.9999953291480724,0,0,0,0,0,0
2020-02-14,0,0.0,0,0.2383250514457577,0,0.2208167661743263,0,1,0.9999964049062378,0,0,0,0,0,0
2020-02-18,0,0.0,0,0.2619633127798368,0,0.2208167661743263,0,1,0.999995518725009,0,0,0,0,0,0
2020-02-19,0,0.0643564356435643,0,0.3475867782290119,1,0.4201877934272277,1,1,0.9999641174552916,0,0,1,1,1,1
2020-02-20,0,0.2024539877300613,0,0.3778390198708292,1,0.4201877934272277,1,1,0.9982663364983848,0,0,1,1,1,1
2020-02-21,0,0.1333333333333333,0,0.3964491356811766,1,0.8433451118963488,1,1,0.9077970511773977,0,0,1,1,1,1
2020-02-24,0,0.1576923076923077,0,0.43019427478684,1,0.9954319761668324,1,0,8.76118271782425e-08,0,0,0,0,0,0
2020-02-25,0,0.4615384615384615,1,0.5165343713381804,1,0.9954319761668324,1,0,6.954084298340587e-14,0,0,0,0,0,0
2020-02-26,0,0.2857142857142857,0,0.4990251676362857,1,0.9954319761668324,1,0,3.4068114206006356e-10,0,0,0,0,0,0
2020-02-27,1,0.2307692307692307,0,0.4292055320538139,1,0.9954319761668324,1,0,4.5236525189215025e-24,0,0,0,0,0,0
2020-02-28,1,0.0666666666666666,0,0.4560358517372804,1,0.9954319761668324,1,0,8.019208631742355e-27,0,0,0,0,0,0
2020-03-02,0,0.0643564356435643,0,0.4518231346235924,1,0.958225791033362,1,0,2.9639754691675125e-36,0,0,0,0,0,0
2020-03-03,0,0.0,0,0.3915886068135797,1,0.857298356373136,1,0,1.6298357782195201e-28,0,0,0,0,0,0
2020-03-04,0,0.0643564356435643,0,0.4701633409461427,1,0.9954319761668324,1,0,2.267721399105964e-37,0,0,0,0,0,0
2020-03-05,0,0.0,0,0.2929296711965657,0,0.2208167661743263,0,0,1.3244093645520675e-38,0,0,0,0,0,0
2020-03-06,0,0.0375,0,0.3469020721991727,1,0.2208167661743263,0,0,1.988239207432455e-35,0,0,0,0,0,0
2020-03-09,0,0.1576923076923077,0,0.3222322631024314,1,0.2208167661743263,0,0,9.848812960813307e-88,0,0,0,0,0,0
2020-03-10,0,0.1333333333333333,0,0.529280512288067,1,0.958225791033362,1,0,4.856858960373734e-82,0,0,0,0,0,0
