fold,label,ret_ann,freq
1,bull,14.258999830099246,66.85281212604707
1,bear,-13.890873651092623,33.14718787395293
2,bull,13.963193295236856,69.01051105472997
2,bear,-13.465206075448288,30.989488945270026
3,bull,13.048010070917492,69.9435403520425
3,bear,-13.911283925619228,30.05645964795749
4,bull,12.549509062101777,69.62917560527121
4,bear,-11.43089672618697,30.37082439472878
5,bull,12.70234125849309,70.34718269778031
5,bear,-9.350595972677896,29.65281730221969
6,bull,14.04924074437115,66.21513944223108
6,bear,-11.78524921475326,33.78486055776892
